,x,y
48,<user> oh noooo! if i blow a tire you're reaaaally going to have to send up some batman smoke.,noemo
49,wnna take a bath!!!!,noemo
50,chocolate milk is so much better through a straw. i lack said straw,noemo
51,why am i so tired?,fear
52,<user> hey yu lil fucker i textd yu,noemo
53,"<user> time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",noemo
54,<user> no way! damn that sucks b! are you ok?,noemo
55,sucks not being able to take days off of work or have the money to take the trip so sad,fear
56,"bed...sorta. today was good, sara has strep thought angelina does to; i shared a water with her b4 they told me, i will prob get it to",joy
57,<user> the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,noemo
58,<user> but i got dibs on sulu...,noemo
59,"<user> aww onward and upwards now, yay! still sad to leave i bet.",sadness
60,<user> at once haha. poor aby still gets sore!,fear
61,diesel yaris... 70mpg so sad its not available in the us. that'd be awesome.,sadness
62,i want to buy this great album but unfortunately i dont hav enuff funds its &quot;long time noisy&quot;,sadness
63,<user> in all honesty...pain blech.,sadness
64,ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,sadness
65,at home alone with not much to do,noemo
66,<user> ia so much! i haven't really been happy with any of cooks choices for singles.,fear
67,<user> <user> i fell asleep on the beach and didn't put on enough sunscreen lol,sadness
68,so i think my son might have the flu cause i def. just cleaned up a stanky puke mess poor pumkpin,fear
69,"so great to see oin &amp; cynthia. so happy. dinner was great, cute little place. too bad oin got sick afterwards.",joy
70,i cant give <user> any bday nudges.,noemo
71,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'him',fear
72,brothers bloom won't be opening this weekend in el paso. i'll just buy brick and enjoy that until i can watch brothers bloom.,noemo
73,says i miss plurking. <url>,noemo
74,"bitten to blood by my cat, on my way for a rabies bacterin. seems 7 shots for 2 months. never wash my cats at home again, they hate water",fear
75,i miss voobys!,noemo
76,<user> neither are elp!!,noemo
77,"<user> dude, that is my favorite sandwich place ever. ummm did you take pictures?",joy
78,is sad that shin ae got married...and it wasn't to alex,fear
79,"<user> sure you will tweet about this when you're back, but news is abuzz about tr knight's leaving &quot;confirmed&quot; today. muy triste.",fear
80,<user> ohh thursday i have exams.. all day what about wednesday ?,sadness
81,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,noemo
82,"<user> <user> i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",sadness
83,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",fear
84,<user> i love those 'it'sakey' usb sticks. we only have the 4gb in australia,sadness
85,fresh prince and sleepy sleeps my nightly routine gotta go to dmv early tmrw,fear
86,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,anger
87,<user> i am jealous of your mom talking to <user> i want to see you all our twittering is making me miss you,fear
88,i can't sleep...i keep thinking about the puppy i played with today,fear
89,.. i'm suppposed to be sleep. but i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot; blaahh,fear
90,<user> what's going on sweetheart?,noemo
91,"how can it be so freaking difficult to get a system-wide spellchecker? shit, i'd settle for an office suite one. stupid unhelpful windows",noemo
92,"last one month due to summer, strawberry is not availble in the chennai markets!",fear
93,<user> work at 6am. gotta go to bed soon,noemo
94,<user> correct! i adore him. i just plucked him up and put him under my arm cuz he was cryin. all better now! hahaha,love
95,<user> hiii im on my ipod...i cant fall asleep,sadness
96,dont wanna work 11-830 tomorrow but i get paid,sadness
97,feels sad coz i wasnt able to play with the guys!!! <url>,sadness
98,princecharming,noemo
99,@ cayogial i wanted to come to bz this summer :/ not so sure anymore... a teacher's life in the summer sucks,anger
100,first ever dropped call on my mobile. on a call to <user> no less! ( being charged for data even though i have a data pack ),fear
101,<user> you win ... sigh rakeem,anger
102,oh is that time for real?,noemo
103,darn these allergies! i don't like this time of year because of this! i never used to have this problem either,sadness
104,oh no one minute too late! oh well,fear
105,"<user> damn, that sucks",anger
106,<user> i wanted to come to bz this summer :/ not so sure anymore... a teacher's life in the summer sucks,sadness
107,<user> this website gave me a virus! when i opened it more windows kept popping up,anger
108,ahh! big scary bug flying around my room!!!!!,fear
109,"i wish she knew what she puts me through..she stole my heart, never gave it back..and occasionally she likes to be like look what i have!",sadness
110,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,fear
111,<user> that was stone cold crazy.... ?,noemo
112,i'm so tired,noemo
113,shift time bbye biochem waaaaahhhhhh!! <url>,noemo
114,<user> i'm sure some1 will cum out and play. i'm workin through til midnight.,noemo
115,<user> i second that. i wish it rained more where i am,noemo
116,<user> early happy day of birth in case i don't make it! very tired from therapy today n just taking my medicine! misshu! love ya!,sadness
117,damn it were is eric or anyone else when you need your hair to be played with,noemo
118,i'm feel deflated. ugh. no more dog.,noemo
119,allergies suck ducks nuts. &lt;=====8@8=====&gt;,sadness
120,well it almost was a good day... guess i just retry tomorrow,noemo
121,<user> waraku is tasteless and expensive! portion is so little!!!!! re: waraku,anger
122,<user> sounds good. appreciate the suggestion. been a week now and we're still offline time to ask for a refund...,love
123,"<user> he died. wait, what about magic jack? i just read it.",fear
124,<user> youstinkatrespondingtotexts!,anger
125,wonders why her karma points turned into 0.00. <url>,sadness
126,"need to pack for cali cali! cannot waittt! thinking a glass of wine is in order to celebrate my weekend vaca. still work 2morrow, tho.",joy
127,is miserable i feel like im gona cry sux!,sadness
128,<user> well i ran out of beer so i left. not sure about the eta. waiting waiting waiting. bleh gonna be a long nite methinks.,noemo
129,$#@! my nose stud fell out and i can't find it looks like i'll have to head into amsterdam today and get a new one,fear
130,"claire <user> love the show, got into the office @ 5am and no radio",noemo
131,pats in philly at 2 am. i love it. mmm cheesesteak. miss my boyfriend but i love vacation.,love
132,*sigh* i'm going to bed... i just don't feel right anymore...,sadness
133,what? i focused on tom so much i didn't see my beloved barack! oh no! i must vote for both! poor president only has 626 votes.,noemo
134,<user> epicentre wheelock place - tourists only..,noemo
135,now i am depressed after watching so you think you can dance,sadness
136,"just cross 'cause i'm stuck twiddling my thumbs now, ugh",sadness
137,miss 16'th,noemo
138,"<user> i know. but like i said, i have no idea how long it takes for them to investigate this stuff.",noemo
139,"i cant sleep, but im too sore to move",fear
140,<user> <url> - awe! i miss my baby,noemo
141,<user> just answered you- never learned how to write in french- just basic stuff-,noemo
142,what is it with chocolates? i just can never say no,noemo
143,achieving a new appreciation on how a xml build script can really be painful and cumbersome,fear
144,<user> i'm too awake now ill have a nap this afternoon,noemo
145,<user> i cant do anything,fear
146,still needs another 6 hours of sleep,noemo
147,i'm at work,joy
148,rip leonardo. you were a great mini fiddler crab,joy
149,"morning tweeple,way to early again",noemo
150,"last day working for the uni today, sad times",sadness
151,"<user> thanks neemah. i'm gonna be soooo close to you and izzy, yet so far",love
152,my head hurts so bad i could scream!,fear
153,i just go up and im so tired and my airmatras is broken somewhere and now im in even more pain,fear
154,new work wellness challenge not going well. i committed to not check email between 10 pm and 6 am. failed on first day. twice,fear
155,new blog post: [blog] auto insuran...: i just found that my auto insurance policy had been expired. ( i am too careless ...) .. meanw ...,fear
156,"where are all ma bestfriends at ? , mia or wat ?",noemo
157,oh men!!!!!!......i really can't see my face........c'mon guys!!!,fear
158,"i'm showing my age. renewed my tags last week, went down $20. got my insurance renewal email today, went down $100. i don't wanna be old",fear
159,my sole supporter is not my sole supporter,fear
160,don't you hate it when you finish all your work and there's still 1.25 hours left of work time,anger
161,<user> urgh stop it guys,fear
162,is still missing her husband. i really want him home.,sadness
163,i miss my puppy,sadness
164,"2 days of this month left, and i only have 400mb left on my onpeak downloads.",surprise
165,<user> up is out? i didn't get the memo it looks amazing.,joy
166,<user> i've given up on pizza - kids would never let me have my fav (the hot ones),sadness
167,up reading tabloids about other people's lives...thinking what i'm gonna do with mine when my baby leaves?,fear
168,<user> yearling in pet home died... very sad for their whole family,sadness
169,fun in the sun hmmm hell no it's cold,noemo
170,i got a giant splinter stuck up underneath my finger nail today at muppets...it hurt. but i got to go to first aid for the first time!,fear
171,"<user> we hate change, so of course. we're fans for life. &lt;3 oh and if we haven't met rob by then something went horribly wrong.",sadness
172,is feeling sad... for some reason.. <url>,fear
173,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,sadness
174,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,sadness
175,<user> i don't think so. i want details.,noemo
176,<user> hi...!!! who is mary poppins???,noemo
177,"<user> its so addicting, but its kind of a curse to do them at night time. everytime i do one, i feel like making music afterwards",fear
178,my last tweet didn't send bad phone,noemo
179,<user> omg ur alive!!! lol 2day has gone sooo slow i'm going insane grrr you doing anything tonight?,joy
180,have a headache i'm going to bed. goodnight!,noemo
181,<user> i was watching parental control,noemo
182,"<user> did you get them from california vintage? ahahah they have the best dresses, i want them but i dont have ebay",joy
183,i just saw pics from this past thanksgiving and am sad because grandma was in them.,sadness
184,<user> it wont let me,fear
185,took a shift tomorrow. i don't really feel like working right now.,sadness
186,but now i have no money for a phone,sadness
187,spent last night in a&amp;e (er). wife tangled wheels with daughter &amp; hit the deck. dislocation &amp; fracture resulted.,fear
188,<user> 9 days i'm about ready to visit torchwood and see if they've heard anything,fear
189,<user> where are you? in bris? i can't hear any thunder,surprise
190,"bec vs fat food --- winner = fat food but not this weeknend, ill beat it!",surprise
191,too bad the red devils.. disappointing to say the least,sadness
192,i had a dream about a pretty pretty beach and there was no beach when i woke up,surprise
193,"<user> have a 3ware 9650se, not fast enough for 3x x25-m ssd raid5. 800mhz iop on the hpt. might try an adaptec 5405 (1.2ghz).",sadness
194,when da heck will the garage man get here i ask you.. when..,surprise
195,"ate mandy, please forgive me. i really am sorry. i don't wanna lose my bff",fear
196,<user> umm yeah. that's probably a pretty good note to self because eeeeeewwwwwwww.,anger
197,why are plane tickets so expensive,fear
198,(@wendyisastar) <user> umm yeah. that's probably a pretty good note to self because eeeeeewwwwwwww.,joy
199,needs a job badly!!!,fear
200,<user> daaammmnnnnn i do wish i was there.,sadness
201,went to di bella coffee roasters today and asked for a job... the person i needed to speak to is on holiday... #fb,fear
202,<user> i played up until the latter parts of the voodoo village part co-op until i lost my usual partner,sadness
203,<user> nite. now i'm up n bored as opposed to almost sleep frm b 4,noemo
204,is a bad friend,sadness
205,<user> happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,noemo
206,<user> im doing that shit right now ... im on vacation and you got me workin,anger
207,<user> ill be over in an oir,noemo
208,<user> guess its a no go girlie. i'm still at the gym and work at 6:30am,noemo
209,would wish the severe migrains would stop!!! doc's prescriptions arent working,anger
210,<user> i missed the game,love
211,"<user> no internet last night; er was brill, there was a massive explosion at the end of a nearby gas works er on standby",sadness
212,<user> cuz airlines are super lame.,anger
213,<user> - still a pity it comes with no lamb though,sadness
214,<user> i'm sorry to hear that. here is my optimist: things will get better. for all of us.,sadness
215,"is done painting all the bedroom furniture, i still have to do the table but it will wait until after the move. uggh moving in the heat",joy
216,i'm so very tired...and have insomnia.,anger
217,<user> a hungry fool. ill probably never see that krispy kreme again. had to enjoy it. they closing down,noemo
218,<user> airport? and you didnt show up tonight homo!,noemo
219,"i hate bakersfield and i hate the ports, let me go home already. i want to start my vacation.",anger
220,<user> what about me,noemo
221,"looking for desktop twitter app that will actually let you access urls, any suggestions? i liked twittle but no linking",noemo
222,people in my house do not know how to close doors,fear
223,why am i completing facebook quizzes at this time of the morning... especially a friday morning,surprise
224,out with <user> &amp; <user> i am soooo hungry,noemo
225,<user> i don't like the possibility of the left side of my brain hurting because of the thing called a vp shunt and possible death,fear
226,had to cancel wow for now,sadness
227,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio,fear
228,<user> but yeah...i'm sad about my &quot;ravenclaw&quot; account. i love that account to bits.,sadness
229,"it's 1:15 am, and i hear a helicopter flying over my house. that's kind of weird. in other news, my headache is back. booooo.",fear
230,<user> oh no i am always here ;) &lt;3,fear
231,back from school. ms suhana's last day as our ft ocu was okay. i'm playing altnoy over and over again.,noemo
232,@ poll : was trying to get it to work in a powerpoint to no avail.,noemo
233,"took a math test today. the day before the test, the teacher says bring your calculator. luke was confident. teacher decided no calcs.",joy
234,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",joy
235,"<user> yeah, it's terrible cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",noemo
236,up late with nothin 2 do.....,sadness
237,i think the vog is making me sicker than i think. feeling slightly achy,fear
238,"<user> i was watching harpers island, lol... there was no vodka involved",noemo
239,i am doing homework it sux big time maths is the worst!!!!!!,fear
240,"<user> would have been better, imo, if it let you play through all 3 songs provided. i just start to &quot;get it&quot; and it blacks out.",noemo
241,#3wordsaftersex it never started...,noemo
242,sometimes i wish things could go back to the way they were the beginning of last summer,sadness
243,"i downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't",fear
244,<user> trudy's off burnet...the one up north that no one goes to,noemo
245,"<user> i feel the same way, but i guess no matter where you are there will always be memes.",sadness
246,"i can`t do 30 minutes of treadmill but done 30 minutes for today already, gonna do 20 minutes more",joy
247,i'm sooooooooooooo confused,fear
248,"with friends like vaiko,nedumaran, ltte didn't need enemies. wrong advice at wrong time led to numerous deaths &amp; a lost cause as well",noemo
249,"work day 7 of 7,",fear
250,chillin with the roomies. can't wait for the zombie clwn cr. its gonna be 6-8 weeks,joy
251,"i looove guitars, and playing them. i think they sound magnificent. if only i was better... if only",noemo
252,"<user> no refunds but they do retrieve accounts, takes like a week. just hoping the thief doesn't use hacks or then it's permaban",fear
253,<user> no im not cries lol,noemo
254,cute malay girl came to seemy room for rent - sadly think it was for her guyfreind bit misleading and disappointing lol,sadness
255,"<user> epicentre wheelock place, 250 units &amp; for tourists only. starting today",surprise
256,i hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,anger
257,come on knight... it's been well over 4 hours,noemo
258,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with,fear
259,<user> aw u can't let me in on the secret!,surprise
260,"<user> im sorry i don't think i stick out, at least compared to what i used to look like.",surprise
261,"no transport for church wont be making it, im crushed. oh well, more time for assignments i suppose. my throat really hurts ...",fear
262,"i hate when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",anger
263,lies...lies...lies....you just cant avoid to lie about practically...everything!,anger
264,twittascope is not rocking my socks - go away already!!,noemo
265,driving back home because i forgot the piece of cake for <user>,noemo
266,<user> so i tried jumping without the trampoline and its like thud* thud* shouldn't have eaten that cookie. <url>,fear
267,"everytime i send an email to my coach, i feel a need to practice. shitty balls. lol",sadness
268,it's pissing me off and not letting me follow ericka,sadness
269,is going to sleep not peaceful wanted to hear him say good night but that didn't happen good night everyone....,sadness
270,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,sadness
271,<user> i was so close to the tacos...one spot too late,noemo
272,<user> umm how bout em?..aint get 2 see da game but i see dey survived anotha game of da series due to notin but lebron im guessin,noemo
273,is thinking so much and i'm at work,surprise
274,i have forgot the live with the jonas brothers on facebook,fear
275,i haven't seen muffin in two whole days!,sadness
276,<user> i'll miss y'all back... give <user> my regards...,sadness
277,my gap year is going so quick,surprise
278,"i have to admit, i'm a bit bummed out that i wasn't with my friends walking today....",fear
279,<user> girl a blunt is soooooooo in my thoughts right now. i had an absolutly great day with a few stressors...come home,noemo
280,my twitter has been hacked again,fear
281,just found mj mouse flats at djs. of course there are none left in my size,sadness
282,<user> i wont have time to buy and i need a new binder pa,noemo
283,<user> hahaha well its try its so ugly,anger
284,25-man ulduar is hard...,noemo
285,"<user> i don't even want to know why you know about vhemt, but don't go - we'd miss you",fear
286,<user> that's awesome! we have that this weekend too but i can't go because i'm moving this sat. i should be a lot of fun though,joy
287,night night twitter world. [still cant believe the thomas thing tomorrow's gunna be fun/sad],noemo
288,<user> this is happening to me too,noemo
289,<user> oh no. *hugs*,surprise
290,"<user> bored now because i was talking to someone but now they're busy with something else just kinda a bummer, idk",noemo
291,<user> i knoww things won't be the samee &lt;/3,sadness
292,"omg-ness it's 11:18 pm and i need to beup early to set up my garage sale it starts a 8am, wish i said 9am. i'm beat.",fear
293,<user> i kno i doooo!!!!!!!!!! yall partyin with out me,joy
294,"okay, so twitter suddenly changed, how do i respond to messages now",fear
295,ugh.. my dad just told me to read an article about kavya shivashankar the spellin bee girl..and be more like her.,noemo
296,decided that no matter how good my hair looks curly it doesn't justify the burn i get from the curler! my hands covered i suck at it!,fear
297,going to sleep. gonna fall asleep playing apps again. tmrw is going to suck,sadness
298,<user> yea i gotta be up at 7:30,noemo
299,i hate when my bf beats da dogs. but i guess that the only way to teach these pitts.,anger
300,sprained my ankle like really badly and tore some stuffs. it hurts! and its my birthday weekend,fear
301,i can't believe the metal gear solid song was stolen i'm so disappointed <url>,sadness
302,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,anger
303,"not one sale done today at work. explored balconies in the big theater w coworkers. a fun day, but void of chili fries and tips",noemo
304,<user> i wish i had left 4 dead. but first i'd need something to play it on...,sadness
305,<user> me too,noemo
306,<user> that story reminds of living in portugal,noemo
307,"<user> youre diabetic? so is my dad. &amp; i might be too, not sure. are you still allowed to eat sugar throughout the day?",noemo
308,i spilled my beer all over my leg. wasted half my beer. home now. i met a cute girl. good conversation.,joy
309,my roommate <user> loves to ignore me,anger
310,<user> i'll make him nachos tomorrow. better than if he would have made them himself.,noemo
311,<user> yeahhh. &amp;dont judge my pillow,noemo
312,"scary lightning and thunder i'm glad it's over now. going to sleep, i hope i'm not late to school tomorow again. haha",joy
313,my teeth and head hurts,sadness
314,i hate rob zombie movies. &amp; the smell of weed. vommmm.,sadness
315,"<user> maths and science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!",anger
316,waiting in line @ tryst,noemo
317,hope i get a job cuz we need an apartment. i'm drunk &amp; miss my lil punkin tehe!!!,fear
318,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover,fear
319,i need to be held... gnite.,fear
320,"hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. dang car accidents",fear
321,no more arrested development. i am sad.,sadness
322,"<user> wicked , what time you leaving? how come you cant stay the night",noemo
323,omg i keep losing followers this is so sad i want 90 one day....thats my goal ;d,sadness
324,i feel so deflated. no more doggy.,sadness
325,<user> i wanna see her hair hows everyone?,fear
326,"i just had to empty my trash on the mac. that was one of the most difficult things i have ever done in my life. 8,000 pictures are gone.",sadness
327,im contacting paws philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much,sadness
328,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,sadness
329,aww... pray for the arroyo family everyone!,fear
330,<user> there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product,noemo
331,fuuudge. movie store is closed,sadness
332,alo is so sad and quiet and empty tonight,sadness
333,"<user> hahahaha! it's not horrible, if others were singing with i'm sure it could work. i wish i could afford my own drum set",anger
334,<user> you never answered your dm i sent you.... i need your info...,fear
335,am trying to get through the pilot of the first season of friday night lights. oh gosh pass the tissue...,fear
336,<user> aw where are you headed to? i just cancelled my trip to aussie,sadness
337,i have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,fear
338,<user> i didn't think anyone caught that,fear
339,i need to be sleeping.. but i'm not even tired..,noemo
340,0,noemo
341,oh nevermind i think this thing is unsalvageable,noemo
342,"lyin in bed, up faaaaar too early",noemo
343,sad that christian lacroix had to file bankruptcy,sadness
344,i dont feel good at all. fuckkk,sadness
345,why did i agree to work a double shift,noemo
346,looks like i'll never go to the zoo,fear
347,<user> ohh poor girl i'll email her... i am relying on you being here in october mr!!,fear
348,when will medhurst play again?,noemo
349,<user> bad times?,fear
350,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,anger
351,have to go to the dreaded dmv tomorrow,sadness
352,<user> i'm a bit ben's thai-ed out,noemo
353,english class! working on interactive orals,joy
354,<user> thank you for the rec but that doesn't work,fear
355,<user> i'm sorry. excited for tomorrow night? karaoke!! getting anything special for bday?,noemo
356,my puppy gizmo h8s me.. haha. he still growls @ me. i always look back @ my long pruple scar on my fingie,fear
357,i don't know how ima work out tomorrow wit my body dis sore ugh,fear
358,in 7-11 w/o you,noemo
359,"<user> yeah, plus it's just a little too far to walk to pinocchio's for sushi",noemo
360,i'm feeling this pressure in my head that always kicks in just before a nasty headache. i'm not looking forward to this.,fear
361,taylor swift and joe jonas looked really good together. i'm kinda sad they broke up.,sadness
362,i'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.,fear
363,"lady across the way had a miscarriage, say a prayer",fear
364,god i just want to sleep.,sadness
365,<user> ohhhh thunderstorms...boo why do they always have to make the power go out??,anger
366,i feel so deflated. no more doggy.,fear
367,found my book. starting a real paper-bound journal tonight. have an annoying zit above my lip. makes me look like i have herpes,sadness
368,"ratt rocked nashville tonite..one thing sucked, no encore! like in the 80's they still have a fun show. pearcy has that hott bad boy look",anger
369,is feeling bad just got bad news about my mum,fear
370,<user> but but i dun wanna,sadness
371,<user> damn girl i'm so down but ya gotta let me know so i can get my kit together &amp; i got a flyer any next weekend? i&quot;m down!,sadness
372,"<user> dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame haha",sadness
373,<user> thats what i was thinking but the only time it's gonna be on is 1 am!,noemo
374,"peeps still here. fun times. gotta sleep tho. work in the a.m. some cool, hot chicks here. but none as cool as ____________. missing her",noemo
375,don't feel like working i think i tweet this too often!,fear
376,feels sick to my stomach and idkk whyy,sadness
377,vineri...nimic special sau probabil un alt weekend pierdut...,fear
378,counting the hours of lost sunshine until the weekend,noemo
379,<user> - dude i just saw your sf pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho,surprise
380,is home. safely... but hungry,joy
381,"<user> um, i was thrown from <user> van yesterday and had to be taken to the er",sadness
382,"got to final table, but....went out third. don't think i'll be getting my free seat",fear
383,good morning work this morning gutted lol nevermind,noemo
384,i have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and i have no messages!,anger
385,fb is boring and i wanna sing right now..! *-*,joy
386,<user> the link doesn't work,sadness
387,<user> hahaha i don't know anyone or anything about it except they have powers lol... i live in my own bubble,noemo
388,the humpalow um ya i think so... cell is dying,fear
389,last day at work...sick to the bone,fear
390,i feel like i'm on house arrest.,fear
391,"love is like a war,,easy to begin, hard to end..fiuuhh...",noemo
392,<user> ur supposed to be in bk tho,surprise
393,<user> did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? it is very sad,fear
394,oh no! nighty night.,surprise
395,<user> must... have... new music... i won't sleep until you give us chapter 1... i might die first though... hurry!,joy
396,my stupid tooooth hurts,sadness
397,<user> love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is,love
398,ready to go @ school,noemo
399,<user> my computers broken and i broke my laptop so i had to use the phone ahh still on he cause they fucked up my order.,sadness
400,<user> it's good isn't it! our holiday chalet is out of sight but look v similar to those ones. going home again today,noemo
401,it's a sad economy. just heard of another friend losing their job. so sad. but just a reminder that...,fear
402,<user> i'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages,fear
403,my dog ran awayyy,fear
404,<user> those suck so bad.,anger
405,"i'm back. top molar extracted swollen face, all numb. but no more toothache or sinus pain.",fear
406,"just finished 8 hours of texas life insurance ce tonight, 22 more hours to go",joy
407,does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea helllllpppp,fear
408,i want to go to peru this summer ahhhhhhh! hopefully! yesyesyes! i miss it over there!!!,love
409,<user> what happen to the maids of yours? quit once again? ...,noemo
410,i'm awake. anybody else awake? wish i lived in the us since all the fun happens when i'm asleep!,sadness
411,at charle's with the power out. lol! damn savemart lost power and we could not buy beer.,anger
412,<user> heehee. i love you! i am tired.,sadness
413,my mobile phone refuses to charge!! either the battery is broken or the chargerrr ( booooo,fear
414,<user> oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something,fear
415,"<user> hmmm, i thought u were sleeping!! too bad i can't see those videos until tomorrow night.",fear
416,"morning everyone sorry for going early last night had bad news, felt totally crap today is a new day",sadness
417,went to the beach and it started raining,noemo
418,"how i wish my parents put me into a chinese school when i was younger. then, it'll be so much easier for me to get a job...",sadness
419,"<user> <user> yeah, physically moving too! apparently we'll be reporting directly to mr. hayward...",joy
420,<user> airport? and you didnt show up tonight homo!,noemo
421,<user> jealous it looks like schindler's list in toronto,fear
422,i want another tatt,joy
423,<user> what?! come as you are!!! but erock just left bah d:,noemo
424,"so, i need to make a lot of money tomorrow",joy
425,<user> being in your room makes me sad.,sadness
